id,name,release_date,url,show_dates,album_image_url
3T9UKU0jMIyrRD0PtKXqPJ,Cornell 5/8/77 (Live),2017-05-05,https://open.spotify.com/album/3T9UKU0jMIyrRD0PtKXqPJ,"[""1977-05-08""]",https://i.scdn.co/image/ab67616d0000b27375fcab3be9f5833d23e211f0
3LjWksbSoyMWY9uG5glYKe,The Grateful Dead (50th Anniversary Deluxe Edition),2017-01-13,https://open.spotify.com/album/3LjWksbSoyMWY9uG5glYKe,"[""1967-07-29"", ""1967-07-30""]",https://i.scdn.co/image/ab67616d0000b273e4468ce62e60e734a772dcf8
6q4mDbsYJsixRai11qc2Vx,"Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",2016-05-13,https://open.spotify.com/album/6q4mDbsYJsixRai11qc2Vx,"[""1978-07-08""]",https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1
1pb85AjruirkyCxVzAYRH5,30 Days of Dead 2015,2016-03-15,https://open.spotify.com/album/1pb85AjruirkyCxVzAYRH5,[],https://i.scdn.co/image/ab67616d0000b273086ff6de369b6d617f1c8da4
5e6K3cjKiw3UswUH5ovoui,Fare Thee Well: 7/5/2015 (Live),2015-11-20,https://open.spotify.com/album/5e6K3cjKiw3UswUH5ovoui,"[""2015-07-05""]",https://i.scdn.co/image/ab67616d0000b2731d7de88cd5e0cc83552f46ee
5V0L9Vxiae3BTrFaQ4YDEi,30 Trips Around the Sun: The Definitive Live Story (1965-1995),2015-09-18,https://open.spotify.com/album/5V0L9Vxiae3BTrFaQ4YDEi,[],https://i.scdn.co/image/ab67616d0000b273337de3476e17502cfb43341b
4qNtuaVC2zN5HxJry0nnZF,American Beauty (Spotify Landmark Edition),2015-06-09,https://open.spotify.com/album/4qNtuaVC2zN5HxJry0nnZF,[],https://i.scdn.co/image/ab67616d0000b273e696c589232330bf261bfc1d
7xWKImlu9fzB1ApqoLLMiL,Wake up to Find Out: Nassau Coliseum: Uniondale; NY 3/29/1990 (Live),2014-09-08,https://open.spotify.com/album/7xWKImlu9fzB1ApqoLLMiL,"[""1990-03-29""]",https://i.scdn.co/image/ab67616d0000b27395d07ea75cb28f75e3d0e620
4bP67icXZAeeAoDlEaa0Th,Spring 1990: The Other One Sampler,2014-07-22,https://open.spotify.com/album/4bP67icXZAeeAoDlEaa0Th,[],https://i.scdn.co/image/ab67616d0000b2737abe3a5e04dfe1aa92de8857
362ZgIzLaPzCvucBJSTKX6,30 Days of Dead 2014,2014-01-01,https://open.spotify.com/album/362ZgIzLaPzCvucBJSTKX6,[],https://i.scdn.co/image/ab67616d0000b273f277e0c1f9cd2fb5aa8a65f8
1E4MXxSYoAMN5qpy1y6aBm,"Veneta, OR 8/27/72: The Complete Sunshine Daydream Concert (Live)",2013-09-13,https://open.spotify.com/album/1E4MXxSYoAMN5qpy1y6aBm,"[""1972-08-27""]",https://i.scdn.co/image/ab67616d0000b273a335131c5ab5f0ade8c35ae7
7ENQ5VEAlbbItHUL5qq9Wx,Live Albums Collection,2013-07-26,https://open.spotify.com/album/7ENQ5VEAlbbItHUL5qq9Wx,[],https://i.scdn.co/image/ab67616d0000b2730fffeae6a8b9791b69f99637
3ac83yxb1hxAjFiuJCdGNm,Complete Studio Rarities Collection,2013-07-26,https://open.spotify.com/album/3ac83yxb1hxAjFiuJCdGNm,[],https://i.scdn.co/image/ab67616d0000b273994cd04e29dc23b23d262d8f
48pdNJ9i0DMrsSSYtmlXK2,Complete Live Rarities Collection,2013-07-26,https://open.spotify.com/album/48pdNJ9i0DMrsSSYtmlXK2,[],https://i.scdn.co/image/ab67616d0000b273c01f00e1ae3a90af9995a16b
0nTHr94uQQ315KvwrPuUW2,30 Days of Dead 2013,2013,https://open.spotify.com/album/0nTHr94uQQ315KvwrPuUW2,[],https://i.scdn.co/image/ab67616d0000b273b552fc37dd2500f2171775f2
4QPyY5VUoSP22WiDAvCMVl,30 Days of Dead 2012,2012-12-04,https://open.spotify.com/album/4QPyY5VUoSP22WiDAvCMVl,[],https://i.scdn.co/image/ab67616d0000b2739b974cb084cc7c2fb28caf3b
6qO4txEK5NKSHz3L4GAD5x,Spring 1990: So Glad You Made It,2012-09-07,https://open.spotify.com/album/6qO4txEK5NKSHz3L4GAD5x,[],https://i.scdn.co/image/ab67616d0000b273951757f0f213a3f0af93577b
5Qu7UrVL5LVoTMOMpUqHP3,Selections from Spring 1990 Box,2012-08-01,https://open.spotify.com/album/5Qu7UrVL5LVoTMOMpUqHP3,[],https://i.scdn.co/image/ab67616d0000b273cfb19c6a7236845436beda12
6tgzqy3Keqge7DAPRw2asB,"Europe '72 Vol. 22: Lyceum Theatre, London, England 5/26/72 (Live)",2011-09-20,https://open.spotify.com/album/6tgzqy3Keqge7DAPRw2asB,"[""1972-05-26""]",https://i.scdn.co/image/ab67616d0000b2733a544dd0660354aef77bb41b
29pkQOWIBGGFD1EncVkILn,"Europe '72 Vol. 21: Lyceum Theatre, London, England 5/25/72 (Live)",2011-09-20,https://open.spotify.com/album/29pkQOWIBGGFD1EncVkILn,"[""1972-05-25""]",https://i.scdn.co/image/ab67616d0000b273d8f340cb5ef88856e7904be8
15Lm3z8vcVTYevEFZ9QJgP,Europe '72 Vol. 2,2011-09-20,https://open.spotify.com/album/15Lm3z8vcVTYevEFZ9QJgP,[],https://i.scdn.co/image/ab67616d0000b273e1ca27fad6b492821a58278b
1K4AvpTllYaNUNcRYw9Pyn,"Europe '72 Vol. 19: Lyceum Theatre, London, England 5/23/72 (Live)",2011-09-20,https://open.spotify.com/album/1K4AvpTllYaNUNcRYw9Pyn,"[""1972-05-23""]",https://i.scdn.co/image/ab67616d0000b273d717e8cac53c822b4cfabd33
0M7PIylsjtbgDxZCf1tef4,"Europe '72 Vol. 18: Kongressaal, Munich, West Germany 5/18/72 (Live)",2011-09-20,https://open.spotify.com/album/0M7PIylsjtbgDxZCf1tef4,"[""1972-05-18""]",https://i.scdn.co/image/ab67616d0000b27315484bb720b105e9efb750d6
6CMuGqQsNf5TRxFBSGY2JT,"Europe '72 Vol. 16: Lille Fairgrounds, Lille, France 5/13/72 (Live)",2011-09-20,https://open.spotify.com/album/6CMuGqQsNf5TRxFBSGY2JT,"[""1972-05-13""]",https://i.scdn.co/image/ab67616d0000b2734aecc68930e104cfca39ff53
7d3bghzAeP1NN27apW1YTI,"Europe '72 Vol 17: La Grande Salle Du Grand Theatre, Luxembourg (Live)",2011-09-20,https://open.spotify.com/album/7d3bghzAeP1NN27apW1YTI,[],https://i.scdn.co/image/ab67616d0000b273f7d540e7c75990236af6e50c
3EZpSEJ1k1BovW6Tp2Klz1,"Europe '72 Vol. 20: Lyceum Theatre, London England 5/24/72 (Live)",2011,https://open.spotify.com/album/3EZpSEJ1k1BovW6Tp2Klz1,"[""1972-05-24""]",https://i.scdn.co/image/ab67616d0000b2731221f38a0198edf7c2a6587e
2GVmIIvRpvCwQbvBNUM2K4,"Europe '72 Vol. 15: Grote Zaal De Doelen, Rotterdam, Holland 5/11/72 (Live)",2011,https://open.spotify.com/album/2GVmIIvRpvCwQbvBNUM2K4,"[""1972-05-11""]",https://i.scdn.co/image/ab67616d0000b27300065505bbd2b12aff2c6b12
5T7RvMATOxVnCM4Q32S7vH,"Europe '72 Vol. 14: Concertgebouw, Amsterdam, Holland 5/10/72 (Live)",2011,https://open.spotify.com/album/5T7RvMATOxVnCM4Q32S7vH,"[""1972-05-10""]",https://i.scdn.co/image/ab67616d0000b273b34f6df4edc65546ce6fcaf7
2dey7kGDFAByEACexapiV6,"Europe '72 Vol. 13: Bickershaw Festival, Wigan, England 5/7/72 (Live)",2011,https://open.spotify.com/album/2dey7kGDFAByEACexapiV6,"[""1972-05-07""]",https://i.scdn.co/image/ab67616d0000b27362a19b682761273542211eb1
3S1abYMND9BSJzbMcpJhj8,"Europe '72 Vol. 12: L'Olympia, Paris, France 5/4/72 (Live)",2011,https://open.spotify.com/album/3S1abYMND9BSJzbMcpJhj8,"[""1972-05-04""]",https://i.scdn.co/image/ab67616d0000b273bc0249da81775e85d24ef020
4avLivYQqNDnkxfMDTSIsJ,"Europe '72 Vol. 11: L'Olympia, Paris, France 5/3/72 (Live)",2011,https://open.spotify.com/album/4avLivYQqNDnkxfMDTSIsJ,"[""1972-05-03""]",https://i.scdn.co/image/ab67616d0000b2735dfa73131d74203cab8e8b27
6ha88H8pRux3VDEkp3S55P,"Hampton, VA, October 1989 (Live)",2010-08-23,https://open.spotify.com/album/6ha88H8pRux3VDEkp3S55P,"[""1989-10-08"", ""1989-10-09""]",https://i.scdn.co/image/ab67616d0000b2737e2dca2fcfbfeb54af99ec23
1ILNO0v1Natm87x5UPedHh,"Crimson, White & Indigo: July 7 1989, JFK Stadium, Philadelphia (Live)",2010-04-16,https://open.spotify.com/album/1ILNO0v1Natm87x5UPedHh,[],https://i.scdn.co/image/ab67616d0000b273d88a7fba6039179e8955ff37
6aODZ83mana5oClW6sXEkx,"To Terrapin: May 28, 1977 Hartford, CT (Live)",2009-04-06,https://open.spotify.com/album/6aODZ83mana5oClW6sXEkx,"[""1977-05-28""]",https://i.scdn.co/image/ab67616d0000b273330151c5c53063b1b1b8b046
1T3gjxFeNGxmbP697kIQ69,"Rocking the Cradle, Egypt 1978 (Live)",2008-09-29,https://open.spotify.com/album/1T3gjxFeNGxmbP697kIQ69,"[""1978-09-16""]",https://i.scdn.co/image/ab67616d0000b2738470b268aecbc48d86445c9b
7nsrYIDrEZvCjH4Eh53uTo,"Download Series: Family Dog at the Great Highway, San Francisco, CA 7/4/70 (Live)",2006,https://open.spotify.com/album/7nsrYIDrEZvCjH4Eh53uTo,"[""1970-07-04""]",https://i.scdn.co/image/ab67616d0000b273f7bdf7d0323377309b4ea73b
7CuPAAL41j1vEjYTjNh2OA,"Download Series Vol. 9: Civic Arena, Pittsburgh, PA 4/2/89 & 4/3/89 (Live)",2006,https://open.spotify.com/album/7CuPAAL41j1vEjYTjNh2OA,"[""1989-04-02"", ""1989-04-03""]",https://i.scdn.co/image/ab67616d0000b2738e8b3b2b077dcca8b64f76d2
5qtj5KMkzFx1270VxODSkD,"Download Series Vol. 12: Washington U., St. Louis, MO 4/17/69 (Live)",2006,https://open.spotify.com/album/5qtj5KMkzFx1270VxODSkD,"[""1969-04-17""]",https://i.scdn.co/image/ab67616d0000b273741fe7e384c65bc343d33e53
67fPMapwwewntR68xRwqfM,"Download Series Vol. 11: Pine Knob Music Theater, Clarkston, MI 6/20/91 (Live)",2006,https://open.spotify.com/album/67fPMapwwewntR68xRwqfM,"[""1991-06-20""]",https://i.scdn.co/image/ab67616d0000b27306552bfcc3cb613abb1ecdd9
0nMKTUPdDm7Zk5WbIfjTKg,"Download Series Vol. 10: Paramount Northwest Theatre, Seattle, WA 7/21/72 (Live)",2006,https://open.spotify.com/album/0nMKTUPdDm7Zk5WbIfjTKg,"[""1972-07-21""]",https://i.scdn.co/image/ab67616d0000b27337979da9dcf3fa19ad7e1f63
7kSAAykKHLJmiw8OpdVMf1,Rare Cuts & Oddities 1966,2005,https://open.spotify.com/album/7kSAAykKHLJmiw8OpdVMf1,[],https://i.scdn.co/image/ab67616d0000b2734e66cd7159b2cb035514f128
7vAB87YflHzcgkuIp8RprK,Fillmore West 1969 (Live),2005,https://open.spotify.com/album/7vAB87YflHzcgkuIp8RprK,[],https://i.scdn.co/image/ab67616d0000b2732f291b2403982d38779c2297
700QCCumNYFQgg22mArrAw,"Download Series Vol. 8: Charlotte Coliseum, Charlotte, NC 12/10/73 (Live)",2005,https://open.spotify.com/album/700QCCumNYFQgg22mArrAw,"[""1973-12-10""]",https://i.scdn.co/image/ab67616d0000b273075773c3b529a86b600363c2
0e0DiVVupxN4D9xOspyKRU,"Download Series Vol. 7: Springfield Civic Center, Springfield, MA 9/30/80 / Providence Civic Center, Providence, RI 9/4/80 (Live)",2005,https://open.spotify.com/album/0e0DiVVupxN4D9xOspyKRU,"[""1980-09-30"", ""1980-09-04""]",https://i.scdn.co/image/ab67616d0000b27389a829dfb009efa186b6b4c2
04BKBau3lJBVp0xY5wzmPW,"Download Series Vol. 6: Carousel Ballroom, San Francisco, CA 3/17/68 (Live)",2005,https://open.spotify.com/album/04BKBau3lJBVp0xY5wzmPW,"[""1968-03-17""]",https://i.scdn.co/image/ab67616d0000b2735256036f9b9f14e1ab80aab3
3LzNGrAGOmLbdQRSRcJzxf,"Download Series Vol. 5: Hampton Coliseum, Hampton, VA 3/27/88 (Live)",2005,https://open.spotify.com/album/3LzNGrAGOmLbdQRSRcJzxf,"[""1988-03-27""]",https://i.scdn.co/image/ab67616d0000b27394a370d873526e2e7c2319c9
5h5Wx6ltrPyzb7yRFPzEyX,"Download Series Vol. 4: Capitol Theatre, Passaic, NJ 6/18/76 / Tower Theatre, Philadelphia, PA 6/21/76 (Live)",2005,https://open.spotify.com/album/5h5Wx6ltrPyzb7yRFPzEyX,"[""1976-06-18"", ""1976-06-21""]",https://i.scdn.co/image/ab67616d0000b273a2fb51355ef35710e533506b
0lyrgO8Pmo87VJqP6ej4Ax,"Download Series Vol. 3: The Palestra, Rochester, NY 10/26/71 (Live)",2005,https://open.spotify.com/album/0lyrgO8Pmo87VJqP6ej4Ax,"[""1971-10-26""]",https://i.scdn.co/image/ab67616d0000b2738a6d39e37124babb2cbb84de
34ZSMxipFp6GVTLUVmc009,"Download Series Vol. 2: Springer's Inn, Portland, OR 1/18/70 (Live)",2005,https://open.spotify.com/album/34ZSMxipFp6GVTLUVmc009,"[""1970-01-18""]",https://i.scdn.co/image/ab67616d0000b273faaa1d8850d0f5bf7c5eb9d0
3PT8V8Rok86NvRgdP92yj9,"Download Series Vol. 1: Palladium, New York, NY 4/30/77 (Live)",2005,https://open.spotify.com/album/3PT8V8Rok86NvRgdP92yj9,"[""1977-04-30""]",https://i.scdn.co/image/ab67616d0000b27339752f8afe0b874e8c08cb50
1lNa8R1EuIfJz9zhZ0H1vx,"Dick's Picks Vol. 36: The Spectrum, Philadelphia, PA 9/21/1972 (Live)",2005,https://open.spotify.com/album/1lNa8R1EuIfJz9zhZ0H1vx,"[""1972-09-21""]",https://i.scdn.co/image/ab67616d0000b2732c54331ec2e1d3eb5654f0d2
24rc4HaQfvOOSnq32PkOC1,"Dick's Picks Vol. 34: Community War Memorial, Rochester, NY 11/5/77 (Live)",2005,https://open.spotify.com/album/24rc4HaQfvOOSnq32PkOC1,"[""1977-11-05""]",https://i.scdn.co/image/ab67616d0000b273dc245d1be391b12e9bb324d1
65ktF7lkujUnpca7cLRj6s,Europe '72 [Live] [Expanded],2004-10-05,https://open.spotify.com/album/65ktF7lkujUnpca7cLRj6s,[],https://i.scdn.co/image/ab67616d0000b27319377ce0b3880d75bf5aa605
3DQoclC4aJ99gOnmYQUyWx,Dozin' at the Knick: Knickerbocker Arena (Live),2004-08-31,https://open.spotify.com/album/3DQoclC4aJ99gOnmYQUyWx,"[""1990-03-24"", ""1990-03-25"", ""1990-03-26""]",https://i.scdn.co/image/ab67616d0000b273860e9aed1a2092efa4b9d224
1QPPIh78A5yXL9Lux8oPp7,"Rockin' the Rhein with the Grateful Dead: Rheinhalle, Dusseldorf, West Germany, 4/24/72 (Live)",2004-05-24,https://open.spotify.com/album/1QPPIh78A5yXL9Lux8oPp7,"[""1972-04-24""]",https://i.scdn.co/image/ab67616d0000b273ae588f15dd03cb3b3757fe5a
7K5jvjbQB05gnFxsgwPvmt,One from the Vault (Live),2004,https://open.spotify.com/album/7K5jvjbQB05gnFxsgwPvmt,"[""1975-08-13""]",https://i.scdn.co/image/ab67616d0000b273031fdc6f06798c2f50f4ab9f
4sY292VqKmwyj1RYlhBFoA,"Dick's Picks Vol. 33: Oakland Coliseum Stadium, Oakland, CA 10/9/76 & 10/10/76 (Live)",2004,https://open.spotify.com/album/4sY292VqKmwyj1RYlhBFoA,"[""1976-10-09"", ""1976-10-10""]",https://i.scdn.co/image/ab67616d0000b2735dcea2f0f5f840bd65556db2
3Nru2SaW3yVSxqHbWNXcwc,"Dick's Picks Vol. 32: Alpine Valley Music Theater, East Troy, WI 8/7/82 (Live)",2004,https://open.spotify.com/album/3Nru2SaW3yVSxqHbWNXcwc,"[""1982-08-07""]",https://i.scdn.co/image/ab67616d0000b2738f0a7d50a6db5d0bf2ba0a2a
0EgV8QqWBeSt1U6MBK6NnC,"Dick's Picks Vol. 31: Philadelphia Civic Center, Philadelphia, PA 8/4/74 - 8/5/74 / Roosevelt Stadium, Jersey City, NJ8/6/74 (Live)",2004,https://open.spotify.com/album/0EgV8QqWBeSt1U6MBK6NnC,"[""1974-08-04"", ""1974-08-05"", ""1974-08-06""]",https://i.scdn.co/image/ab67616d0000b273e9cdd88a06fb721224fac139
7kllcqzsmi744saUQQ7DiB,"Dick's Picks Vol. 1: Curtis Hixon Hall, Tampa, FL 12/19/73 (Live)",2004,https://open.spotify.com/album/7kllcqzsmi744saUQQ7DiB,"[""1973-12-19""]",https://i.scdn.co/image/ab67616d0000b273140afed8828591503c05c34c
3RtA7CxOnsJvfipdg4A3U8,"The Closing of Winterland: December 31, 1978",2003-11-11,https://open.spotify.com/album/3RtA7CxOnsJvfipdg4A3U8,"[""1978-12-31""]",https://i.scdn.co/image/ab67616d0000b273dd95f0a374adadbf450692a0
1cnArqU8gDNK2pPksZsQZw,"Dick's Picks Vol. 30: Academy of Music, New York, NY 3/25/72 & 3/28/72 (Live)",2003,https://open.spotify.com/album/1cnArqU8gDNK2pPksZsQZw,"[""1972-03-25"", ""1972-03-28""]",https://i.scdn.co/image/ab67616d0000b2733fc668bdda92a81e7d261629
4nuyKoY91WKwR6HLq7Gzkl,"Dick's Picks Vol. 29: Fox Theater, Atlanta, GA 5/19/77 / Lakeland Civic Center Arena, Lakeland, FL 5/21/77 (Live)",2003,https://open.spotify.com/album/4nuyKoY91WKwR6HLq7Gzkl,"[""1977-05-19"", ""1977-05-21""]",https://i.scdn.co/image/ab67616d0000b2737a967c53b9848fd82833b3ef
0xp6JpT8jrnK0FV4Xf4MG0,"Dick's Picks Vol. 28: Pershing Municipal Auditorium, Lincoln, NE 2/26/73 / Salt Palace, Salt Lake City, UT 2/28/73 (Live)",2003,https://open.spotify.com/album/0xp6JpT8jrnK0FV4Xf4MG0,"[""1973-02-26"", ""1973-02-28""]",https://i.scdn.co/image/ab67616d0000b273238f8671e9e64f720271e806
1ao7jrAGQ6xf6ywjbKM8vU,"Dick's Picks Vol. 27: Oakland Coliseum Arena, Oakland, CA 12/16/92 (Live)",2003,https://open.spotify.com/album/1ao7jrAGQ6xf6ywjbKM8vU,"[""1992-12-16""]",https://i.scdn.co/image/ab67616d0000b273738dd5cc2cb4e940b940e2da
0WjqABEwiclklIWJtKfVga,"Go to Nassau: May 15 & 16, 1980 (Live)",2002-10-22,https://open.spotify.com/album/0WjqABEwiclklIWJtKfVga,"[""1980-05-15"", ""1980-05-16""]",https://i.scdn.co/image/ab67616d0000b273bd047bb9645b5a92c2980a26
6adTq5oT5ieTZUtx7zwd8U,Steppin' out with the Grateful Dead England '72 (Live),2002-07-09,https://open.spotify.com/album/6adTq5oT5ieTZUtx7zwd8U,[],https://i.scdn.co/image/ab67616d0000b273e227f65a02f37570bc6ce0d7
4z650uYpycmQJvDVtfrYnb,Postcards of the Hanging: Grateful Dead Perform the Songs of Bob Dylan (Live),2002,https://open.spotify.com/album/4z650uYpycmQJvDVtfrYnb,[],https://i.scdn.co/image/ab67616d0000b2739c23002d807d64afaa694952
50rpHqRFD3K7bCTRBtraGH,"Dick's Picks Vol. 26: Electric Theater, Chicago, IL 4/26/69 / Labor Temple, Minneapolis, MN 4/27/69 (Live)",2002,https://open.spotify.com/album/50rpHqRFD3K7bCTRBtraGH,"[""1969-04-26"", ""1969-04-27""]",https://i.scdn.co/image/ab67616d0000b2732424a074228587876453763f
1C1qBy9KA5ddXkl6Ya82gr,"Dick's Picks Vol. 25: Veterans Memorial Coliseum, New Haven, CT 5/10/78 / Springfield Civic Center, Springfield, MA 5/11/78 (Live)",2002,https://open.spotify.com/album/1C1qBy9KA5ddXkl6Ya82gr,"[""1978-05-10"", ""1978-05-11""]",https://i.scdn.co/image/ab67616d0000b27303c6a8b12b7729d159df6ca5
4jiBYEFx7rv6C6UTYywZZO,"Dick's Picks Vol. 24: Cow Palace, Daly City, CA 3/23/74 (Live)",2002,https://open.spotify.com/album/4jiBYEFx7rv6C6UTYywZZO,"[""1974-03-23""]",https://i.scdn.co/image/ab67616d0000b273647ecb3118e268e397243491
5AShxlldX1DRSejBuyZmSG,"History of the Grateful Dead, Vol. 1 (Bear's Choice)",2001-10-30,https://open.spotify.com/album/5AShxlldX1DRSejBuyZmSG,[],https://i.scdn.co/image/ab67616d0000b273d2519993a537df3660ba6193
31bICy4msxPCUrDJbRiaYm,Nightfall of Diamonds (Live),2001-09-25,https://open.spotify.com/album/31bICy4msxPCUrDJbRiaYm,"[""1989-10-16""]",https://i.scdn.co/image/ab67616d0000b27343d566ee8ffdbe82ab77aa84
09fKoRSQnIP9SAWKSZkWa9,Europe '72 (Live; 2001 Remaster),2001,https://open.spotify.com/album/09fKoRSQnIP9SAWKSZkWa9,[],https://i.scdn.co/image/ab67616d0000b2733fe2dcad32d5fce830e836b3
7gyyunPy7dVsDB4cp7ZReW,"Dick's Picks Vol. 23: Baltimore Civic Center, Baltimore, MD 9/17/72 (Live)",2001,https://open.spotify.com/album/7gyyunPy7dVsDB4cp7ZReW,"[""1972-09-17""]",https://i.scdn.co/image/ab67616d0000b273d5116299dcc22b23fd924495
